participantId,weeks,education,food,recreation,rent_adjustment,shelter,wages,savings
0,1,76.01075911,61.5685665,170.826429,0,1109.977243,4528.907573,3110.524575
1,1,76.01075911,72.24243343,322.0210678,0,1109.977243,3853.619038,2273.367534
2,1,25.62489004,60.64203481,189.6853572,0,1113.105854,4020.643365,2631.585228
3,1,76.01075911,67.37576326,215.9261567,0,1109.977243,3897.332865,2428.042943
4,1,25.62489004,71.34941208,321.5533202,4809.283427,7385.947341,4445.345454,1450.153917
5,1,25.62489004,81.9010862,163.0318863,0,1200.067249,2728.92074,1258.295628
6,1,25.62489004,85.59966111,346.1912273,0,1162.383978,2663.0063,1043.206543
7,1,25.62489004,110.2925742,213.8537897,0,2026.403895,4079.595521,1703.420372
8,1,25.62489004,105.0914405,226.4985581,0,2359.260852,3725.531382,1009.055641
9,1,182.2870277,69.04416957,110.7468583,0,1116.004568,5800.370282,4322.287659
10,1,25.62489004,96.53392537,79.53414423,0,1121.801994,3633.657821,2310.162867
11,1,146.3957043,62.52938359,221.5037409,0,1112.344942,3955.101572,2412.327801
12,1,76.01075911,62.62293242,270.7334972,0,1113.765562,3573.942083,2050.809333
13,1,25.62489004,105.4007633,158.4262926,0,2603.127811,4026.453213,1133.873457
14,1,25.62489004,110.6359315,255.5603494,0,2271.474402,5531.568722,2868.27315
15,1,76.01075911,60.93227144,229.6212548,0,1117.55388,3704.887249,2220.769084
16,1,25.62489004,68.75501159,267.3642577,0,1124.700707,5295.440053,3808.995187
17,1,76.01075911,67.07279657,189.4963395,0,1117.55388,6639.153933,5189.020158
18,1,182.2870277,67.28514529,56.69405979,0,1119.243505,6934.646385,5509.136647
19,1,25.62489004,96.43645986,111.3172652,0,1142.092986,4392.441817,3016.970216
20,1,25.62489004,72.88584229,131.9837075,0,1147.890412,3743.059028,2364.674175
21,1,25.62489004,104.7254064,384.4922894,0,1376.888752,2497.791473,606.0601346
22,1,25.62489004,111.7146239,289.5997597,0,2029.099214,3142.557163,686.5186755
23,1,182.2870277,68.84443058,189.5118665,0,1119.243505,3311.510702,1751.623871
24,1,25.62489004,70.17654085,190.001386,0,1147.890412,4721.375293,3287.682064
25,1,25.62489004,89.2649182,171.4820832,0,1173.978831,3762.590308,2302.239586
26,1,25.62489004,92.39391392,139.5804268,0,1173.978831,3425.589533,1994.011471
27,1,76.01075911,66.65083987,267.0385344,0,1125.130516,3694.005894,2159.175244
28,1,76.01075911,59.22476336,297.851982,0,1125.130516,6231.569755,4673.351734
29,1,25.62489004,71.32024081,190.1852628,0,1231.953094,2987.061201,1467.977713
30,1,25.62489004,103.7397954,125.5054594,3852.01959,5998.479612,2828.821265,427.4910981
31,1,182.2870277,68.60408688,154.9460636,0,1134.716918,7435.497528,5894.943432
32,1,76.01075911,66.35595589,264.0600911,0,1140.283789,3605.576158,2058.865563
